Reference;Value;Footprint;Qty
C1;100nF;Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm;1
C2;2,2nF;Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm;1
C3;100pF 400V;Capacitor_THT:C_Disc_D7.5mm_W5.0mm_P5.00mm;1
C4;4,7uF 400v;Capacitor_THT:CP_Radial_D10.0mm_P3.80mm;1
C5;470uF 25v;Capacitor_THT:CP_Radial_D10.0mm_P5.00mm;1
D1;FR107;Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal;1
L1;100uH;Inductor_THT;1
Q1;BC547;Package_TO_SOT_THT:TO-92_Inline_Wide;1
Q2;IRF840;Package_TO_SOT_THT:TO-220-3_Vertical;1
R1,;1K;Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;2
R2;10K;Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;1
R3;4R7;Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;1
R4;2K2;Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;1
R5;220K;Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;1
R6;18K 5W;Resistor_THT:R_Axial_Power_L25.0mm_W9.0mm_P27.94mm;1
RV1;1K;Trimmer_tht;1
U2;NE555P;Package_DIP:DIP-8_W7.62mm;1
